image,is_obstructed,max_conf
corridoio_001_ostruita.jpg,1,0.0886
corridoio_002_ostruita.jpg,1,0.2333
corridoio_003_ostruita.jpg,1,0.6944
corridoio_004_ostruita.jpg,1,0.2729
corridoio_005_ostruita.jpg,1,0.1525
corridoio_006_ostruita.jpg,1,0.6995
corridoio_007_ostruita.jpg,1,0.2401
corridoio_008_ostruita.jpg,1,0.3852
corridoio_009_ostruita.jpg,1,0.272
corridoio_010_ostruita.jpg,1,0.5494
corridoio_011_ostruita.jpg,1,0.5587
corridoio_012_ostruita.jpg,1,0.6006
corridoio_013_ostruita.jpg,1,0.7342
corridoio_014_ostruita.jpg,1,0.804
corridoio_016_ostruita.jpg,1,0.7311
corridoio_017_ostruita.jpg,1,0.8373
corridoio_018_ostruita.jpg,1,0.721
corridoio_019_ostruita.jpg,1,0.2695
corridoio_021_ostruita.jpg,1,0.0684
corridoio_022_ostruita.jpg,1,0.5363
corridoio_023_ostruita.jpg,1,0.0938
corridoio_024_ostruita.jpg,1,0.9412
corridoio_025_ostruita.jpg,1,0.3395
corridoio_027_ostruita.jpg,1,0.4741
corridoio_028_ostruita.jpg,1,0.4093
corridoio_029_ostruita.jpg,1,0.5344
corridoio_030_ostruita.jpg,1,0.4022
corridoio_031_ostruita.jpg,1,0.3247
corridoio_032_ostruita.jpg,1,0.8559
corridoio_033_ostruita.jpg,1,0.4677
corridoio_034_ostruita.jpg,1,0.197
corridoio_035_ostruita.jpg,1,0.5837
corridoio_036_ostruita.jpg,1,0.0
corridoio_037_ostruita.jpg,1,0.1627
corridoio_038_ostruita.jpg,1,0.8466
corridoio_039_ostruita.jpg,1,0.8252
corridoio_040_ostruita.jpg,1,0.5807
corridoio_041_ostruita.jpg,1,0.7369
corridoio_042_ostruita.jpg,1,0.3397
corridoio_043_ostruita.jpg,1,0.8865
corridoio_044_ostruita.jpg,1,0.7828
corridoio_045_ostruita.jpg,1,0.7735
corridoio_046_ostruita.jpg,1,0.4492
corridoio_048_ostruita.jpg,1,0.6129
corridoio_049_ostruita.jpg,1,0.7276
corridoio_051_ostruita.jpg,1,0.7013
corridoio_052_ostruita.jpg,1,0.4586
corridoio_053_ostruita.jpg,1,0.2609
corridoio_054_ostruita.jpg,1,0.0
corridoio_056_ostruita.jpg,1,0.2315
corridoio_057_ostruita.jpg,1,0.1404
corridoio_058_ostruita.jpg,1,0.2286
corridoio_059_ostruita.jpg,1,0.8688
corridoio_060_ostruita.jpg,1,0.4466
corridoio_061_ostruita.jpg,1,0.2838
corridoio_062_ostruita.jpg,1,0.6637
corridoio_063_ostruita.jpg,1,0.871
corridoio_064_ostruita.jpg,1,0.6106
corridoio_065_ostruita.jpg,1,0.8021
corridoio_066_ostruita.jpg,1,0.9024
corridoio_067_ostruita.jpg,1,0.3644
corridoio_068_ostruita.jpg,1,0.0
corridoio_069_ostruita.jpg,1,0.4316
corridoio_070_ostruita.jpg,1,0.1077
corridoio_071_ostruita.jpg,1,0.549
corridoio_072_ostruita.jpg,1,0.7168
corridoio_073_ostruita.jpg,1,0.8765
corridoio_074_ostruita.jpg,1,0.6436
corridoio_075_ostruita.jpg,1,0.8634
corridoio_076_ostruita.jpg,1,0.4301
corridoio_078_ostruita.jpg,1,0.1465
corridoio_079_ostruita.jpg,1,0.6519
corridoio_080_ostruita.jpg,1,0.5725
corridoio_081_ostruita.jpg,1,0.6314
corridoio_082_ostruita.jpg,1,0.2286
corridoio_084_ostruita.jpg,1,0.7935
corridoio_085_ostruita.jpg,1,0.617
corridoio_086_ostruita.jpg,1,0.5188
corridoio_087_ostruita.jpg,1,0.9244
corridoio_088_ostruita.jpg,1,0.2259
corridoio_089_ostruita.jpg,1,0.7552
corridoio_090_ostruita.jpg,1,0.3722
corridoio_091_ostruita.jpg,1,0.0813
corridoio_092_ostruita.jpg,1,0.2967
corridoio_093_ostruita.jpg,1,0.329
corridoio_094_ostruita.jpg,1,0.4145
corridoio_095_ostruita.jpg,1,0.6637
corridoio_096_ostruita.jpg,1,0.5744
corridoio_097_ostruita.jpg,1,0.3091
corridoio_098_ostruita.jpg,1,0.1534
corridoio_099_ostruita.jpg,1,0.4035
corridoio_100_ostruita.jpg,1,0.7842
corridoio_101_ostruita.jpg,1,0.5908
corridoio_102_ostruita.jpg,1,0.7136
corridoio_103_ostruita.jpg,1,0.5347
corridoio_104_ostruita.jpg,1,0.8942
corridoio_105_ostruita.jpg,1,0.7268
corridoio_106_ostruita.jpg,1,0.6708
corridoio_107_ostruita.jpg,1,0.784
corridoio_108_ostruita.jpg,1,0.6048
corridoio_110_ostruita.jpg,1,0.5988
corridoio_112_ostruita.jpg,1,0.5481
corridoio_113_ostruita.jpg,1,0.4396
corridoio_114_ostruita.jpg,1,0.0943
corridoio_116_ostruita.jpg,1,0.5386
corridoio_117_ostruita.jpg,1,0.5525
corridoio_118_ostruita.jpg,1,0.3335
corridoio_120_ostruita.jpg,1,0.721
corridoio_122_ostruita.jpg,1,0.5639
corridoio_123_ostruita.jpg,1,0.861
corridoio_124_ostruita.jpg,1,0.8826
corridoio_125_ostruita.jpg,1,0.5359
corridoio_126_ostruita.jpg,1,0.8953
corridoio_127_ostruita.jpg,1,0.0713
corridoio_128_ostruita.jpg,1,0.0845
corridoio_129_ostruita.jpg,1,0.2939
corridoio_131_ostruita.jpg,1,0.3464
corridoio_132_ostruita.jpg,1,0.7631
corridoio_133_ostruita.jpg,1,0.769
corridoio_134_ostruita.jpg,1,0.7243
corridoio_135_ostruita.jpg,1,0.6722
corridoio_136_ostruita.jpg,1,0.7012
corridoio_137_ostruita.jpg,1,0.9392
corridoio_138_ostruita.jpg,1,0.1982
corridoio_139_ostruita.jpg,1,0.7608
corridoio_140_ostruita.jpg,1,0.0778
corridoio_141_ostruita.jpg,1,0.4685
corridoio_142_ostruita.jpg,1,0.1037
corridoio_143_ostruita.jpg,1,0.3223
corridoio_144_ostruita.jpg,1,0.8015
corridoio_145_ostruita.jpg,1,0.5852
corridoio_146_ostruita.jpg,1,0.8722
corridoio_147_ostruita.jpg,1,0.7337
corridoio_148_ostruita.jpg,1,0.7967
corridoio_149_ostruita.jpg,1,0.8288
corridoio_151_ostruita.jpg,1,0.8151
corridoio_152_ostruita.jpg,1,0.3635
corridoio_153_ostruita.jpg,1,0.6884
corridoio_154_ostruita.jpg,1,0.347
corridoio_155_ostruita.jpg,1,0.466
corridoio_157_ostruita.jpg,1,0.5948
corridoio_158_ostruita.jpg,1,0.2512
corridoio_159_ostruita.jpg,1,0.727
corridoio_161_ostruita.jpg,1,0.5183
corridoio_162_ostruita.jpg,1,0.4526
corridoio_163_ostruita.jpg,1,0.2582
corridoio_164_ostruita.jpg,1,0.4929
corridoio_165_ostruita.jpg,1,0.5517
corridoio_167_ostruita.jpg,1,0.0851
corridoio_168_ostruita.jpg,1,0.4305
corridoio_169_ostruita.jpg,1,0.0651
corridoio_170_ostruita.jpg,1,0.3289
corridoio_171_ostruita.jpg,1,0.0636
corridoio_173_ostruita.jpg,1,0.2552
corridoio_174_ostruita.jpg,1,0.3904
corridoio_175_ostruita.jpg,1,0.0993
corridoio_176_ostruita.jpg,1,0.5016
corridoio_177_ostruita.jpg,1,0.7197
corridoio_178_ostruita.jpg,1,0.1909
corridoio_179_ostruita.jpg,1,0.7759
corridoio_180_ostruita.jpg,1,0.4983
corridoio_181_ostruita.jpg,1,0.7948
corridoio_182_ostruita.jpg,1,0.329
corridoio_183_ostruita.jpg,1,0.0
corridoio_185_ostruita.jpg,1,0.8213
corridoio_186_ostruita.jpg,1,0.5072
corridoio_187_ostruita.jpg,1,0.5975
corridoio_188_ostruita.jpg,1,0.0
corridoio_189_ostruita.jpg,1,0.7972
corridoio_190_ostruita.jpg,1,0.2689
corridoio_191_ostruita.jpg,1,0.0992
corridoio_192_ostruita.jpg,1,0.4615
corridoio_193_ostruita.jpg,1,0.3496
corridoio_194_ostruita.jpg,1,0.7657
corridoio_195_ostruita.jpg,1,0.0817
corridoio_196_ostruita.jpg,1,0.1679
corridoio_197_ostruita.jpg,1,0.4642
corridoio_198_ostruita.jpg,1,0.3549
corridoio_199_ostruita.jpg,1,0.6537
corridoio_200_ostruita.jpg,1,0.4181
corridoio_202_ostruita.jpg,1,0.9233
corridoio_203_ostruita.jpg,1,0.3551
corridoio_204_ostruita.jpg,1,0.3681
corridoio_205_ostruita.jpg,1,0.5265
corridoio_206_ostruita.jpg,1,0.4802
corridoio_207_ostruita.jpg,1,0.7119
corridoio_208_ostruita.jpg,1,0.8615
corridoio_209_ostruita.jpg,1,0.3621
corridoio_210_ostruita.jpg,1,0.4852
corridoio_212_ostruita.jpg,1,0.5562
corridoio_213_ostruita.jpg,1,0.6421
corridoio_214_ostruita.jpg,1,0.6107
corridoio_215_ostruita.jpg,1,0.0723
corridoio_216_ostruita.jpg,1,0.4483
corridoio_217_ostruita.jpg,1,0.6101
corridoio_218_ostruita.jpg,1,0.655
corridoio_219_ostruita.jpg,1,0.2987
corridoio_220_ostruita.jpg,1,0.1386
corridoio_221_ostruita.jpg,1,0.8241
corridoio_222_ostruita.jpg,1,0.2657
corridoio_223_ostruita.jpg,1,0.0586
corridoio_224_ostruita.jpg,1,0.8072
corridoio_225_ostruita.jpg,1,0.9497
corridoio_226_ostruita.jpg,1,0.2476
corridoio_227_ostruita.jpg,1,0.0
corridoio_228_ostruita.jpg,1,0.8741
corridoio_229_ostruita.jpg,1,0.8377
