reference_id,test_id,test_type,venue_type,file_path,score,normalized_score,threshold,is_anomaly,mu,sigma,gated
non_ostruite/corridoi/corridoio_001.jpeg,non_ostruite/corridoi/corridoio_001.jpeg,normal,corridoio,non_ostruite/corridoi/corridoio_001.jpeg,2.964985,-0.388739,4.189215,0,3.073423,0.150758,0
non_ostruite/corridoi/corridoio_001.jpeg,shadow_test/normali_corridoi/corridoio_001_shadow00.jpeg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_001_shadow00.jpeg,3.161999,0.317536,4.189215,0,3.073423,0.150758,0
non_ostruite/corridoi/corridoio_001.jpeg,light_test/normali_corridoi/corridoio_001_light00.jpeg,light_normal,corridoio,light_test/normali_corridoi/corridoio_001_light00.jpeg,3.397505,1.161801,4.189215,0,3.073423,0.150758,0
non_ostruite/corridoi/corridoio_001.jpeg,ostruzioni_reali/images/corridoio_001_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_001_ostruita.jpg,4.946991,6.716549,4.189215,1,3.073423,0.150758,0
non_ostruite/corridoi/corridoio_002.jpg,non_ostruite/corridoi/corridoio_002.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_002.jpg,2.735104,-0.635559,4.028184,0,2.912392,0.322783,0
non_ostruite/corridoi/corridoio_002.jpg,shadow_test/normali_corridoi/corridoio_002_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_002_shadow00.jpg,2.940012,0.099015,4.028184,0,2.912392,0.322783,0
non_ostruite/corridoi/corridoio_002.jpg,light_test/normali_corridoi/corridoio_002_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_002_light00.jpg,3.320501,1.463029,4.028184,0,2.912392,0.322783,0
non_ostruite/corridoi/corridoio_002.jpg,ostruzioni_reali/images/corridoio_002_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_002_ostruita.jpg,4.753152,6.598936,4.028184,1,2.912392,0.322783,0
non_ostruite/corridoi/corridoio_003.jpg,non_ostruite/corridoi/corridoio_003.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_003.jpg,2.512558,-0.823089,3.857949,0,2.742157,0.30198,0
non_ostruite/corridoi/corridoio_003.jpg,shadow_test/normali_corridoi/corridoio_003_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_003_shadow00.jpg,2.915669,0.622023,3.857949,0,2.742157,0.30198,0
non_ostruite/corridoi/corridoio_003.jpg,light_test/normali_corridoi/corridoio_003_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_003_light00.jpg,2.538862,-0.728792,3.857949,0,2.742157,0.30198,0
non_ostruite/corridoi/corridoio_003.jpg,ostruzioni_reali/images/corridoio_003_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_003_ostruita.jpg,4.855103,7.574695,3.857949,1,2.742157,0.30198,0
non_ostruite/corridoi/corridoio_004.jpg,non_ostruite/corridoi/corridoio_004.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_004.jpg,2.87936,-0.521671,4.140671,0,3.024879,0.284407,0
non_ostruite/corridoi/corridoio_004.jpg,shadow_test/normali_corridoi/corridoio_004_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_004_shadow00.jpg,3.090686,0.235911,4.140671,0,3.024879,0.284407,0
non_ostruite/corridoi/corridoio_004.jpg,light_test/normali_corridoi/corridoio_004_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_004_light00.jpg,3.213808,0.677291,4.140671,0,3.024879,0.284407,0
non_ostruite/corridoi/corridoio_004.jpg,ostruzioni_reali/images/corridoio_004_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_004_ostruita.jpg,4.658042,5.854722,4.140671,1,3.024879,0.284407,0
non_ostruite/corridoi/corridoio_005.jpg,non_ostruite/corridoi/corridoio_005.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_005.jpg,2.572958,-0.272621,3.764797,0,2.649005,0.233102,0
non_ostruite/corridoi/corridoio_005.jpg,shadow_test/normali_corridoi/corridoio_005_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_005_shadow00.jpg,2.829126,0.645715,3.764797,0,2.649005,0.233102,0
non_ostruite/corridoi/corridoio_005.jpg,light_test/normali_corridoi/corridoio_005_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_005_light00.jpg,2.809733,0.576193,3.764797,0,2.649005,0.233102,0
non_ostruite/corridoi/corridoio_005.jpg,ostruzioni_reali/images/corridoio_005_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_005_ostruita.jpg,4.527209,6.733169,3.764797,1,2.649005,0.233102,0
non_ostruite/corridoi/corridoio_006.jpg,non_ostruite/corridoi/corridoio_006.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_006.jpg,2.874553,-0.475375,4.12295,0,3.007158,0.203661,0
non_ostruite/corridoi/corridoio_006.jpg,shadow_test/normali_corridoi/corridoio_006_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_006_shadow00.jpg,3.470082,1.659535,4.12295,0,3.007158,0.203661,0
non_ostruite/corridoi/corridoio_006.jpg,light_test/normali_corridoi/corridoio_006_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_006_light00.jpg,3.027689,0.073602,4.12295,0,3.007158,0.203661,0
non_ostruite/corridoi/corridoio_006.jpg,ostruzioni_reali/images/corridoio_006_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_006_ostruita.jpg,4.740403,6.213506,4.12295,1,3.007158,0.203661,0
non_ostruite/corridoi/corridoio_007.jpg,non_ostruite/corridoi/corridoio_007.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_007.jpg,2.881356,-0.859493,4.236902,0,3.12111,0.340693,0
non_ostruite/corridoi/corridoio_007.jpg,shadow_test/normali_corridoi/corridoio_007_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_007_shadow00.jpg,3.060276,-0.218084,4.236902,0,3.12111,0.340693,0
non_ostruite/corridoi/corridoio_007.jpg,light_test/normali_corridoi/corridoio_007_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_007_light00.jpg,3.375622,0.912399,4.236902,0,3.12111,0.340693,0
non_ostruite/corridoi/corridoio_007.jpg,ostruzioni_reali/images/corridoio_007_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_007_ostruita.jpg,4.722118,5.739449,4.236902,1,3.12111,0.340693,0
non_ostruite/corridoi/corridoio_008.jpg,non_ostruite/corridoi/corridoio_008.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_008.jpg,2.602474,-0.623184,3.892102,0,2.77631,0.364214,0
non_ostruite/corridoi/corridoio_008.jpg,shadow_test/normali_corridoi/corridoio_008_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_008_shadow00.jpg,3.090025,1.124636,3.892102,0,2.77631,0.364214,0
non_ostruite/corridoi/corridoio_008.jpg,light_test/normali_corridoi/corridoio_008_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_008_light00.jpg,3.405996,2.25736,3.892102,0,2.77631,0.364214,0
non_ostruite/corridoi/corridoio_008.jpg,ostruzioni_reali/images/corridoio_008_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_008_ostruita.jpg,4.607003,6.562847,3.892102,1,2.77631,0.364214,0
non_ostruite/corridoi/corridoio_009.jpg,non_ostruite/corridoi/corridoio_009.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_009.jpg,2.463161,-0.466757,3.709154,0,2.593362,0.224842,0
non_ostruite/corridoi/corridoio_009.jpg,shadow_test/normali_corridoi/corridoio_009_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_009_shadow00.jpg,2.448872,-0.517982,3.709154,0,2.593362,0.224842,0
non_ostruite/corridoi/corridoio_009.jpg,light_test/normali_corridoi/corridoio_009_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_009_light00.jpg,3.013705,1.506887,3.709154,0,2.593362,0.224842,0
non_ostruite/corridoi/corridoio_009.jpg,ostruzioni_reali/images/corridoio_009_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_009_ostruita.jpg,4.649135,7.369735,3.709154,1,2.593362,0.224842,0
non_ostruite/corridoi/corridoio_010.jpg,non_ostruite/corridoi/corridoio_010.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_010.jpg,2.840333,-0.861333,4.196392,0,3.0806,0.327767,0
non_ostruite/corridoi/corridoio_010.jpg,shadow_test/normali_corridoi/corridoio_010_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_010_shadow00.jpg,2.895725,-0.662758,4.196392,0,3.0806,0.327767,0
